First Name,Surname,country,age,OVR,Bat OVR,IQ,Technique,Power,Running,Bowl OVR,WicketTaking,Econ,Accuracy,Cltch
Matthew,Short,Australia,26,64,62,60,63,63,51,49,45,54,49,48
Jordan,Silk,Australia,30,64,64,73,69,53,65,23,26,15,32,36
Tanvir,Islam,Bangladesh,25,64,37,31,33,44,42,63,62,68,57,56
Junaid,Siddiqui,Canada,37,64,39,36,39,41,46,64,58,70,61,61
Saad,Bin Zafar,Canada,35,64,38,34,38,42,38,63,60,69,56,55
Michael,Pepper,England,24,64,64,63,66,65,58,24,27,15,33,37
Ed,Pollock,England,27,64,64,54,67,72,58,24,27,15,32,37
Scott,Steel,England,23,64,60,64,63,57,38,54,50,58,51,51
Joe,Weatherley,England,25,64,64,66,66,61,63,32,28,35,36,34
Rexford,Bakum,Ghana,23,64,58,50,59,67,45,59,66,64,42,33
Abdul,Samad,India,20,64,63,59,64,68,58,39,39,39,39,39
Amit,Yadav,India,32,64,50,42,51,58,43,62,59,67,59,59
Ram,Dayal,India,33,64,35,40,35,27,48,63,60,69,61,60
Harpreet,Brar,India,26,64,46,43,45,49,50,62,59,67,58,59
Diwesh,Pathania,India,33,64,49,44,50,54,47,61,60,65,56,55
Shivam,Chauhan,India,24,64,62,67,65,56,62,48,48,54,39,31
Peter,Chase,Ireland,28,64,30,26,29,32,36,64,63,66,59,61
Grant,Stewart,Italy,28,64,52,44,53,58,58,61,59,63,59,60
Adnan,Idrees,Kuwait,31,64,62,57,64,65,47,52,54,56,41,40
Jose,Bulele,Mozambique,19,64,53,59,55,47,53,61,63,64,48,50
Joao,Hou,Mozambique,19,64,54,46,55,60,56,61,62,67,48,46
Bas,de Leede,Netherlands,22,64,61,66,62,56,65,52,55,53,44,46
Scott,Edwards,Netherlands,25,64,63,63,67,59,69,26,29,16,35,40
Rachin,Ravindra,New Zealand,22,64,53,48,55,56,50,61,58,66,56,58
Anurag,Verma,New Zealand,31,64,37,32,37,39,41,64,63,65,62,62
Chad,Soper,Papua New Guinea,30,64,45,48,43,45,40,63,62,67,53,55
Arshad,Iqbal,Pakistan,21,64,13,14,8,14,20,64,63,67,61,62
Nauman,Ali,Pakistan,35,64,41,33,40,48,49,63,59,68,62,61
Sahibzada,Farhan,Pakistan,26,64,64,69,65,60,59,24,27,15,33,37
Sohail,Akhtar,Pakistan,36,64,63,65,63,64,40,37,36,39,39,36
Vasu,Saini,Romania,32,64,59,64,63,52,58,58,55,64,52,55
Ottniel,Baartman,South Africa,29,64,18,24,15,15,21,64,62,69,58,58
Patrick,Botha,South Africa,32,64,51,50,53,49,54,61,59,66,57,56
Donavon,Ferreira,South Africa,24,64,63,65,64,61,49,47,46,50,41,43
Wesley,Marshall,South Africa,28,64,64,61,67,66,49,24,26,15,32,37
Mangaliso,Mosehle,South Africa,32,64,64,64,64,66,57,24,27,15,33,37
Delano,Potgieter,South Africa,25,64,60,61,61,61,48,54,56,56,44,45
Ryan,Rickelton,South Africa,26,64,62,62,63,62,58,50,47,62,42,25
Khaya,Zondo,South Africa,32,64,62,72,63,54,62,46,45,49,44,40
Muditha,Lakshan,Sri Lanka,21,64,61,63,63,59,45,56,57,62,44,38
Ashan,Randika,Sri Lanka,28,64,64,60,66,69,43,24,26,15,32,37
Tillakaratne,Sampath,Sri Lanka,40,64,54,53,53,57,52,61,58,63,62,59
Ivan,Selemani,Tanzania,22,64,64,58,67,69,44,25,28,16,34,39
Devon,Thomas,West Indies,32,64,63,64,62,63,60,36,37,35,37,33
Wes,Agar,Australia,25,63,34,33,37,29,49,62,62,64,59,60
Max,Bryant,Australia,23,63,63,60,65,66,49,24,27,15,33,37
Marnus,Labuschagne,Australia,28,63,60,64,63,55,55,52,54,53,47,52
Abdullah,Akbarjan,Austria,32,63,37,34,38,39,36,63,62,68,53,54
Alok,Kapali,Bangladesh,38,63,53,56,52,50,57,60,58,61,62,59
Ebadot,Hossain,Bangladesh,28,63,30,29,28,33,26,63,60,67,62,61
Khaled,Ahmed,Bangladesh,29,63,32,29,29,37,35,62,61,65,58,58
Naeem,Islam,Bangladesh,35,63,61,67,61,55,56,52,51,54,50,47
Nayeem,Hasan,Bangladesh,22,63,35,40,36,29,42,62,59,66,60,61
Rony,Talukdar,Bangladesh,31,63,63,62,63,65,49,23,26,15,32,36
Dhruv,Maisuria,Botswana,23,63,24,31,22,18,43,63,67,68,46,46
Ravinderpal,Singh,Canada,33,63,63,62,64,65,51,25,28,16,34,38
Tom,Alsop,England,26,63,63,66,65,58,62,24,27,15,32,37
Jordan,Cox,England,21,63,63,67,66,57,64,24,27,15,33,37
Dan,Douthwaite,England,25,63,59,50,59,66,57,56,55,57,54,56
Tom,Lammonby,England,22,63,61,54,63,65,62,46,46,47,45,45
Prem,Sisodiya,England,23,63,52,34,59,61,53,61,58,65,58,57
Devender,Singh,Ghana,31,63,62,66,65,59,52,24,27,16,33,38
Mayank,Dagar,India,25,63,24,26,23,22,36,63,59,69,59,59
Paras,Dogra,India,37,63,63,69,63,59,56,33,25,38,36,35
Sayan,Ghosh,India,29,63,38,29,41,45,32,62,62,65,57,57
Dharmendrasinh,Jadeja,India,32,63,48,33,52,58,45,61,57,66,60,59
Chirag,Jani,India,32,63,54,52,56,55,51,59,55,64,58,58
Unnikrishnan,Manukrishnan,India,33,63,42,32,44,50,45,61,59,66,56,57
Shrikant,Mundhe,India,33,63,56,57,58,53,52,59,56,61,57,59
Hardik,Patel,India,27,63,16,18,13,15,21,63,60,69,60,59
Himanshu,Rana,India,23,63,62,64,64,60,54,24,27,15,33,37
Ravi,Kiran,India,31,63,19,29,14,15,16,63,60,67,59,59
KV,Sasikanth,India,27,63,48,44,48,51,47,61,59,65,59,60
Naushad,Shaikh,India,30,63,60,65,63,55,56,50,49,56,44,40
Sumit,Kumar,India,26,63,58,55,59,60,44,58,59,61,51,54
Atharva,Taide,India,22,63,59,59,61,59,48,54,54,59,43,43
Apoorv,Wankhade,India,30,63,63,65,65,61,61,23,26,15,32,36
Yash,Thakur,India,23,63,29,34,23,29,30,63,64,66,53,55
Graham,Hume,Ireland,31,63,48,45,50,49,57,61,60,65,56,57
George,Burrows,Isle of Man,22,63,63,68,65,57,58,25,28,16,34,39
Karl,Birkenstock,Namibia,26,63,63,62,64,63,56,36,32,38,38,43
JP,Kotze,Namibia,28,63,62,58,62,67,64,25,28,16,34,39
Kushal,Malla,Nepal,18,63,60,49,61,69,54,53,50,59,44,46
Tom,Blundell,New Zealand,31,63,63,66,66,60,59,27,27,21,34,37
Peter,Aho,Nigeria,19,63,49,54,54,40,61,61,60,66,50,53
Aamir,Kaleem,Oman,40,63,51,50,52,50,48,61,59,64,56,57
Damien,Ravu,Papua New Guinea,28,63,36,25,37,45,31,62,64,65,52,55
Ali,Imran,Pakistan,24,63,62,58,63,65,47,42,44,43,37,35
Danish,Aziz,Pakistan,26,63,60,61,61,61,53,49,49,50,45,47
Hassan,Khan,Pakistan,23,63,51,45,51,54,58,60,55,64,62,63
Mir,Hamza,Pakistan,29,63,36,28,32,46,34,62,59,66,61,60
Abdul Hadi,,Pakistan,27,63,34,22,30,48,33,63,60,66,62,62
Najjam,Shahzad,Portugal,34,63,59,57,58,63,41,56,55,62,46,49
Sivakumar,Periyalwar,Romania,24,63,62,69,65,56,49,28,29,23,36,40
Samuel,Conteh,Sierra Leone,18,63,34,44,32,25,46,63,66,68,46,46
Imran,Manack,South Africa,30,63,32,32,35,28,48,63,58,70,60,58
Grant,Roelofsen,South Africa,26,63,63,67,65,58,55,24,27,15,32,37
Jason,Smith,South Africa,27,63,60,65,62,53,57,53,54,53,49,49
Grant,Thomson,South Africa,34,63,59,62,61,55,61,54,50,57,54,54
Ashen,Bandara,Sri Lanka,23,63,61,65,65,54,66,45,49,44,38,37
Gayan,Maneeshan,Sri Lanka,31,63,59,66,59,52,56,58,63,63,46,34
Chamara,Silva,Sri Lanka,42,63,63,67,64,57,67,36,36,37,35,32
SanjayKumar,Thakor,Tanzania,32,63,56,46,57,62,58,59,59,65,46,47
Muhammad,Usman,United Arab Emirates,36,63,62,67,64,58,58,24,27,16,34,38
Frank,Akankwasa,Uganda,19,63,54,46,55,63,44,60,58,66,52,49
Rahkeem,Cornwall,West Indies,29,63,60,49,62,70,40,55,52,58,54,55
Dominic,Drakes,West Indies,24,63,52,39,55,64,37,60,59,61,55,58
Raymon,Reifer,West Indies,31,63,51,52,50,51,53,60,61,60,57,58
Neville,Madziva,Zimbabwe,31,63,47,49,49,44,48,61,59,63,60,64
Tony,Munyonga,Zimbabwe,23,63,61,59,61,63,60,42,38,47,41,39
Tinotenda,Mutombodzi,Zimbabwe,31,63,47,49,48,44,47,61,58,65,60,57
Sachindu,Colombage,Sri Lanka,24,63,35,29,36,38,48,63,63,67,55,56
Kithuruwan,Vithanage,Sri Lanka,31,63,63,58,62,67,63,38,38,40,37,32
Fazalhaq,Farooqi,Afghanistan,21,62,14,19,9,15,17,62,58,69,54,54
Abdul Hadi,,Afghanistan,24,62,62,60,62,64,60,24,27,15,33,37
Sayed,Shirzad,Afghanistan,27,62,45,38,48,46,55,60,60,64,55,56
Matthew,Kelly,Australia,27,62,44,33,44,50,53,61,62,63,55,56
Hayden,Kerr,Australia,26,62,52,50,55,50,52,59,60,60,52,54
Jimmy,Peirson,Australia,29,62,62,64,64,59,58,23,26,15,32,37
Jason,Sangha,Australia,22,62,61,66,63,54,64,43,46,43,38,38
Sarfaraz,Ali,Bahrain,40,62,60,55,62,64,43,49,45,55,44,47
Jahurul,Islam,Bangladesh,35,62,62,66,62,60,62,23,26,15,32,36
Mehedi,Hasan Rana,Bangladesh,25,62,33,22,34,41,34,62,63,64,56,57
Aziz,Mohammad,Belgium,33,62,59,54,60,66,36,51,49,56,44,46
Hamza,Tariq,Canada,32,62,62,56,64,65,57,25,28,16,34,39
Henry,Brookes,England,22,62,44,35,48,51,37,60,60,62,55,57
Brydon,Carse,England,27,62,56,52,59,56,62,58,55,60,60,63
Sam,Cook,England,25,62,35,31,37,37,40,62,60,64,60,60
Joe,Cracknell,England,22,62,62,60,64,62,58,24,27,15,33,37
Matthew,Fisher,England,24,62,43,27,43,59,35,60,60,61,57,60
James,Harris,England,32,62,37,35,40,36,50,61,59,61,64,64
Max,Holden,England,24,62,62,62,64,60,63,30,28,30,35,34
Jake,Libby,England,29,62,61,69,66,49,63,36,33,39,37,35
Ben,Mike,England,23,62,59,52,61,62,59,53,55,52,50,53
Craig,Miles,England,28,62,29,31,30,24,49,61,61,63,58,60
Dan,Mousley,England,21,62,60,60,62,59,52,47,47,51,41,45
Georgios,Galanis,Greece,18,62,56,41,60,66,56,57,59,61,44,49
Kinchit,Shah,Hong Kong,26,62,58,62,59,53,63,54,50,59,53,50
Baba,Aparajith,India,28,62,58,67,60,50,60,53,50,59,47,44
Shivam,Bhambri,India,26,62,62,61,62,63,49,24,27,15,32,37
Tushar,Deshpande,India,27,62,40,27,42,50,41,61,61,63,56,57
Harsh,Tyagi,India,22,62,57,55,58,59,58,57,52,63,53,55
Sheldon,Jackson,India,35,62,62,65,62,61,46,23,26,15,31,36
Narayan,Jagadeesan,India,26,62,62,68,64,58,49,24,27,15,32,37
Azim,Kazi,India,28,62,56,59,57,55,49,57,54,63,53,53
Sarfaraz,Khan,India,24,62,61,58,63,62,63,34,27,39,37,36
Kishan,Lyngdoh,India,24,62,61,64,63,57,53,38,29,48,39,37
Monu,Kumar,India,27,62,40,28,38,51,38,61,60,66,55,55
Darshan,Nalkande,India,23,62,34,30,31,41,33,62,65,64,51,53
Akshdeep,Nath,India,29,62,60,64,62,56,55,48,48,50,44,40
Pratham,Singh,India,29,62,62,65,64,58,56,23,26,15,32,37
Anukul,Roy,India,23,62,55,49,57,60,51,58,53,63,55,57
Bavanaka,Sandeep,India,30,62,59,62,61,55,58,49,44,54,48,50
Rahil,Shah,India,36,62,32,30,30,34,41,62,59,66,60,60
Vishnu,Solanki,India,29,62,62,65,62,59,61,32,27,34,36,34
David,Delany,Ireland,24,62,46,39,46,53,50,60,58,63,57,59
Moazzam,Baig,Malawi,37,62,36,45,37,27,40,61,63,66,46,48
Filipe,Cossa,Mozambique,28,62,58,51,58,66,46,56,53,62,47,49
Ruben,Trumpelmann,Namibia,24,62,53,43,53,63,39,58,55,65,52,52
Mohammad,Aadil Alam,Nepal,18,62,61,55,63,64,57,38,32,44,38,40
Nick,Kelly,New Zealand,29,62,61,60,62,65,38,37,37,39,36,31
Raza,Iqbal,Norway,36,62,51,54,53,47,55,59,58,66,49,48
Aqib,Ilyas,Oman,29,62,60,64,63,57,52,44,39,51,42,38
Nosaina,Pokana,Papua New Guinea,26,62,33,36,32,30,47,62,59,67,54,56
Kamran,Ghulam,Pakistan,26,62,58,59,60,57,45,55,55,59,50,50
Muhammad,Musa,Pakistan,21,62,44,37,42,53,27,60,59,63,58,59
Shahnawaz,Dahani,Pakistan,23,62,23,20,20,29,15,62,64,64,55,57
Abdul,Waheed,Saudi Arabia,28,62,49,55,52,44,34,59,65,63,41,38
Manpreet,Singh,Singapore,27,62,61,67,65,53,61,33,29,33,38,37
Clayton,Bosch,South Africa,29,62,59,61,60,59,51,50,47,56,45,47
Matthew,Breetzke,South Africa,23,62,62,61,63,61,64,24,27,15,33,37
Nandre,Burger,South Africa,26,62,24,29,21,20,32,62,60,66,56,57
Gihahn,Cloete,South Africa,29,62,61,65,62,59,61,24,27,15,32,37
Lutho,Sipamla,South Africa,24,62,24,26,22,23,35,62,61,64,61,61
Jonathan,Vandiar,South Africa,32,62,62,64,62,60,58,23,26,15,32,36
Lorne,Burns,Spain,29,62,50,46,53,49,56,59,61,64,45,47
Charlie,Rumistrzewicz,Spain,17,62,21,27,17,17,32,62,61,69,48,47
Nisala,Tharaka,Sri Lanka,31,62,43,41,44,44,46,60,60,63,55,58
Nishan,Peiris,Sri Lanka,24,62,41,34,40,46,49,61,61,64,52,55
Lahiru,Samarakoon,Sri Lanka,25,62,58,49,61,65,56,54,54,55,48,51
Zaker,Taqawi,Sweden,20,62,34,46,35,22,43,62,66,65,45,48
Kassim,Nassoro,Tanzania,34,62,60,64,62,55,49,52,48,58,43,46
Deusdedit,Muhumuza,Uganda,32,62,54,55,55,54,45,59,57,64,55,53
Aishah,Chibanda,Zimbabwe,19,62,59,61,59,59,38,53,61,53,37,36
Janith,Liyanage,Sri Lanka,27,62,58,63,58,52,65,56,56,59,52,52
Abdul Hadi,,Afghanistan,24,61,34,30,31,39,43,61,59,66,54,55
Nathan,McAndrew,Australia,29,61,52,43,56,57,56,58,56,59,56,60
Tanveer,Sangha,Australia,20,61,28,29,28,28,31,61,61,63,52,55
Beau,Webster,Australia,28,61,60,64,62,55,55,41,35,47,43,38
Sahel,Zadran,Austria,32,61,49,38,52,55,58,58,56,62,51,55
Alauddin,Babu,Bangladesh,30,61,52,45,53,59,41,58,57,59,58,58
Mahmudul,Hasan Joy,Bangladesh,21,61,61,67,63,57,45,24,27,15,33,37
Munim,Shahriar,Bangladesh,24,61,61,57,63,66,42,24,27,16,33,38
Saif,Hassan,Bangladesh,23,61,60,61,59,60,49,45,49,46,38,37
Murid,Ekrami,Belgium,21,61,46,42,48,46,61,59,56,65,51,54
Sajad,Ahmadzai,Belgium,19,61,47,37,45,55,47,59,62,63,42,45
Prakash,Mishra,Bulgaria,43,61,50,40,50,62,37,59,56,63,57,57
Harsh,Thaker,Canada,24,61,55,41,59,65,47,57,55,66,46,41
Aneurin,Donald,England,25,61,61,56,63,63,59,24,27,15,33,37
Luke,Hollman,England,21,61,57,56,59,56,64,56,56,58,50,53
Rob,Keogh,England,30,61,59,65,62,49,66,47,47,49,45,40
Matt,Milnes,England,28,61,44,36,48,45,56,60,58,61,58,60
Faisal,Mubashir,Germany,35,61,59,70,64,45,61,44,44,47,39,36
Obed,Harvey,Ghana,32,61,53,57,55,48,53,58,57,65,46,48
Akash,Deep,India,25,61,41,31,41,48,51,60,58,64,53,54
Chaitanya,Bishnoi,India,27,61,60,64,62,56,49,41,39,44,38,35
Rishabh,Chouhan,India,22,61,51,44,51,56,47,58,64,62,41,35
Pallavkumar,Das,India,32,61,59,55,62,63,45,47,44,51,43,41
Lakshay,Garg,India,26,61,47,36,46,56,49,59,55,63,58,59
Siddhesh,Lad,India,30,61,58,58,58,58,56,53,52,56,48,47
Suyash,Prabhudessai,India,24,61,60,57,62,62,56,41,36,45,40,39
Rahul,Singh,India,26,61,61,56,63,65,52,24,27,15,32,37
Dwaraka,Ravi Teja,India,34,61,60,68,61,52,56,41,41,43,39,36
Sanjay,Yadav,India,27,61,57,57,57,58,53,54,50,60,49,46
Shivam,Mavi,India,23,61,31,26,28,36,35,61,58,63,59,60
Vikash,Singh,India,28,61,45,34,43,56,40,59,56,63,56,58
Vikas,Yadav,India,26,61,46,46,45,45,52,59,56,65,52,51
Matt,Ford,Ireland,28,61,59,57,60,59,55,49,49,55,41,36
Ben,White,Ireland,23,61,41,32,41,47,42,59,59,62,52,56
Edward,Beard,Isle of Man,21,61,61,66,65,53,64,25,28,16,34,39
Vraj,Patel,Kenya,20,61,10,11,5,13,4,61,62,68,47,47
Vikram,Vijh,Luxembourg,35,61,49,58,51,43,17,59,59,62,50,52
Benjamin,Lister,New Zealand,26,61,40,31,40,47,45,60,58,63,57,59
Ben,Sears,New Zealand,24,61,43,45,51,31,62,59,60,62,51,55
William,Somerville,New Zealand,37,61,47,43,47,51,42,59,56,62,57,58
Sylvester,Okpe,Nigeria,21,61,34,38,34,30,49,61,62,65,48,52
Lega,Siaka,Papua New Guinea,29,61,57,54,57,58,52,55,59,59,43,38
Adil,Amin,Pakistan,31,61,58,64,60,51,55,53,50,58,52,48
Azhar,Andani,Portugal,28,61,61,65,65,55,53,24,27,16,33,38
Muhammad,Tanveer,Qatar,41,61,60,61,61,60,47,44,41,49,40,37
Ijaz,Hussain,Romania,29,61,45,43,44,50,21,60,61,63,50,53
Sami,Ullah,Romania,32,61,56,45,62,63,50,56,59,59,42,47
Orchide,Tuyisenge,Rwanda,22,61,61,60,65,59,59,25,28,16,34,39
Navin,Param,Singapore,26,61,59,61,62,55,65,46,43,52,40,34
Matthew,Arnold,South Africa,33,61,51,55,54,45,51,58,57,62,53,54
David,Bedingham,South Africa,28,61,61,60,63,61,49,24,26,15,32,37
Daryn,Dupavillon,South Africa,28,61,35,26,33,44,30,61,60,65,54,55
Diego,Rosier,South Africa,28,61,60,60,62,58,62,37,38,37,37,37
Jurie,Snyman,South Africa,27,61,59,56,59,62,57,48,47,53,43,40
Tharindu,Kaushal,Sri Lanka,29,61,44,36,46,49,51,60,57,64,55,56
Pramod,Madushan,Sri Lanka,28,61,32,28,33,34,41,60,60,63,52,53
Inshaka,Siriwardena,Sri Lanka,22,61,34,37,34,32,34,61,63,65,47,50
Duvindu,Tillakaratne,Sri Lanka,25,61,20,25,18,17,25,61,64,65,46,48
Rajeewa,Weerasinghe,Sri Lanka,34,61,38,45,40,28,52,61,58,66,54,54
Abhijit,Venkatesh,Sweden,32,61,50,57,54,40,44,58,61,62,45,46
Junaid,Siddique,United Arab Emirates,29,61,30,25,25,38,25,60,59,65,53,55
Chandrapaul,Hemraj,West Indies,28,61,59,56,58,63,49,47,45,50,42,45
Tarisai,Musakanda,Zimbabwe,27,61,61,67,64,52,63,32,29,34,37,36
Usman,Ghani,Afghanistan,19,60,18,12,17,22,28,60,64,65,43,40
Peter,Hatzoglou,Australia,23,60,23,25,23,22,31,60,58,64,54,54
Shafiqul,Islam,Bangladesh,25,60,41,17,43,60,33,59,59,62,51,54
Bakhtiar,Tahiri,Bulgaria,31,60,58,58,57,60,48,48,48,50,42,48
Demar,Johnson,Cayman Islands,31,60,59,56,60,61,51,45,40,51,38,45
Ben,Green,England,24,60,55,48,56,60,53,56,56,57,51,53
Danny,Lamb,England,26,60,43,41,43,42,52,59,58,61,58,58
Dan,Moriarty,England,23,60,36,26,34,46,31,60,57,64,55,56
Aron,Nijjar,England,27,60,41,34,43,46,43,59,56,62,56,58
Dillon,Pennington,England,23,60,34,35,37,29,51,59,59,60,57,61
George,Scrimshaw,England,24,60,25,40,20,16,30,60,60,62,54,56
Matt,Taylor,England,28,60,39,35,40,41,48,59,57,61,58,59
Saif,Zaib,England,24,60,59,56,61,60,60,39,35,42,40,38
Sahir,Naqash,Germany,32,60,54,51,56,56,47,57,57,60,47,51
Walter,Behr,Germany,26,60,44,40,45,48,24,58,60,64,43,45
Aftab,Hussain,Hong Kong,24,60,46,32,53,51,54,58,59,64,46,48
Harshvardhan,Mandhyan,Hungary,31,60,47,47,47,48,37,58,57,64,50,50
Amit,Ali,India,19,60,38,35,43,35,50,59,62,65,43,43
Sanyam,Arora,India,20,60,60,62,61,60,47,24,27,15,33,37
Shashank,Chandrakar,India,28,60,60,57,61,63,57,24,26,15,32,37
Abhimanyu,Easwaran,India,26,60,60,66,63,52,59,24,27,15,32,37
Mohit,Jain,India,23,60,18,12,17,22,27,60,64,64,42,40
Yashasvi,Jaiswal,India,20,60,60,54,61,64,54,30,28,28,35,37
Jaskaran,Singh,India,32,60,51,41,52,59,47,57,54,61,53,55
M,Mohammed,India,30,60,52,38,57,60,56,57,56,59,51,55
Arzan,Nagwaswalla,India,24,60,37,26,36,48,32,59,59,63,49,51
Ishan,Porel,India,23,60,17,19,13,16,32,60,60,65,51,52
Saurabh,Kumar,India,29,60,46,33,46,56,48,58,54,63,55,57
Subhranshu,Senapati,India,25,60,60,62,61,57,60,24,27,15,33,37
Karan,Sharma,India,23,60,58,57,59,58,50,47,44,57,40,28
Dhruv,Shorey,India,30,60,59,64,60,56,57,31,27,34,36,34
Umran,Malik,India,22,60,22,27,21,18,33,60,60,62,53,55
Utkarsh,Singh,India,24,60,51,51,54,51,42,57,55,61,48,50
Jatin,Wadhwan,India,27,60,60,64,61,58,48,24,27,15,32,37
Ross,Adair,Ireland,28,60,58,51,61,63,52,41,42,42,38,41
Marcus,Campopiano,Italy,27,60,60,62,62,58,47,24,27,15,33,38
Harry,Manenti,Italy,21,60,42,35,43,48,45,59,60,65,44,44
Timothy,Barker,Luxembourg,26,60,60,65,64,52,54,25,28,16,35,39
William,Cope,Luxembourg,25,60,49,47,53,47,56,58,57,61,51,55
Jan,Nicol Loftie-Eaton,Namibia,21,60,57,53,58,59,61,48,45,52,47,48
Ben,Shikongo,Namibia,22,60,10,11,5,14,8,60,59,63,52,56
Sesan,Adedeji,Nigeria,25,60,56,67,55,48,56,53,50,59,47,47
Isaac,Okpe,Nigeria,27,60,53,56,54,50,63,56,54,60,51,56
Prosper,Useni,Nigeria,16,60,41,54,40,29,45,59,58,65,49,53
Fayyaz,Butt,Oman,28,60,41,41,41,42,36,59,57,64,52,55
Mohammad,Nadeem,Oman,39,60,39,40,40,39,32,59,56,64,55,57
Mohammad,Ilyas,Pakistan,23,60,31,31,31,31,41,60,60,61,58,59
Sameen,Gul,Pakistan,23,60,30,31,27,34,23,60,58,63,56,57
Mohammed,Nadeem,Qatar,39,60,22,28,22,17,27,60,58,65,53,54
Kevin,Irakoze,Rwanda,22,60,32,34,35,26,50,59,59,65,47,49
Hamza,Tahir,Scotland,26,60,21,23,18,18,39,60,60,64,50,51
George,Sesay,Sierra Leone,15,60,33,41,29,28,34,59,62,63,44,48
Shane,Dadswell,South Africa,24,60,60,54,62,64,50,34,30,37,37,37
Gareth,Dukes,South Africa,29,60,56,45,59,61,59,54,52,59,48,53
Ayabulela,Gqamane,South Africa,32,60,51,43,53,56,57,57,54,57,59,63
Alfred,Mothoa,South Africa,32,60,20,19,16,24,25,60,58,64,55,57
Kerwin,Mungroo,South Africa,28,60,24,22,23,24,33,60,58,64,55,56
Glenton,Stuurman,South Africa,29,60,32,32,33,29,46,59,59,63,50,53
Tiaan,van Vuuren,South Africa,21,60,58,51,60,62,56,47,44,51,41,46
Zubayr,Hamza,South Africa,27,60,58,63,60,52,52,48,50,52,38,31
Nuwanidu,Fernando,Sri Lanka,22,60,60,63,61,55,59,38,29,48,39,34
Shiran,Fernando,Sri Lanka,29,60,45,31,46,56,49,58,59,61,49,50
Vihan,Gunasekare,Sri Lanka,23,60,43,52,39,39,41,58,64,62,41,38
Lahiru,Jayaratne,Sri Lanka,30,60,36,33,34,40,48,60,57,63,58,58
Malinda,Perera,Sri Lanka,20,60,10,12,5,12,2,60,64,65,43,45
Gihan,Rupasinghe,Sri Lanka,36,60,59,60,59,57,62,44,44,47,40,33
Maleesha,Silva,Sri Lanka,19,60,24,31,22,17,43,60,64,65,47,36
Liam,Karlsson,Sweden,25,60,39,35,40,40,44,59,60,64,48,51
Ashwin,Vinod,Switzerland,25,60,47,45,51,47,44,58,59,63,46,48
Faheem,Nazir,Switzerland,39,60,58,61,60,54,50,48,48,52,39,44
Jason,Mohammed,West Indies,35,60,58,67,57,53,55,43,40,47,41,37
Timycen,Maruma,Zimbabwe,34,60,54,51,54,57,59,56,55,61,52,46
Ainsley,Ndlovu,Zimbabwe,26,60,40,41,40,39,43,59,57,64,53,54
Abdul,Rahman,Afghanistan,20,59,55,48,56,61,56,53,50,57,47,50
Hernan,Fennell,Argentina,34,59,38,24,39,54,12,58,62,61,43,48
Sam,Heazlett,Australia,26,59,59,57,61,61,48,29,28,27,35,34
Sathaiya,Veerapathiran,Bahrain,31,59,56,44,60,64,47,52,52,57,43,46
Aminul,Islam,Bangladesh,22,59,40,40,41,40,42,58,57,62,52,55
Parvez,Hossain Emon,Bangladesh,20,59,59,55,58,65,50,24,27,15,33,37
Sumon,Khan,Bangladesh,22,59,45,40,44,50,38,57,57,59,51,54
Towhid,Hridoy,Bangladesh,21,59,58,65,60,51,59,39,28,51,40,34
Shaheryar,Butt,Belgium,40,59,59,56,60,63,44,23,26,15,32,36
Hiral,Patel,Canada,30,59,55,64,57,48,49,52,50,55,49,50
Jack,Haynes,England,21,59,59,54,60,61,59,24,27,15,33,37
Harrison,Ward,England,22,59,53,50,55,53,54,56,63,59,39,35
Dylan,Blignaut,Germany,27,59,50,54,48,46,54,57,58,60,46,50
Venkatraman,Ganesan,Germany,37,59,38,49,41,25,55,58,52,66,52,54
Harmanjot,Singh,Germany,28,59,58,61,63,52,59,31,29,29,37,37
Zahir,Mohammed,Hungary,31,59,59,47,61,67,51,29,29,25,35,36
Shubham,Agarwal,India,28,59,48,49,49,45,53,57,58,62,44,45
Rajjakuddin,Ahmed,India,26,59,56,47,57,62,57,51,50,54,45,51
Anuj,Rawat,India,22,59,58,57,57,62,45,24,27,15,33,37
Ashutosh,Aman,India,36,59,30,33,29,26,39,59,58,64,50,49
Jayanta,Behera,India,35,59,15,18,11,14,22,59,59,64,49,51
Writtick,Chatterjee,India,29,59,51,47,53,54,53,56,54,62,49,49
Pavan,Deshpande,India,32,59,58,59,60,56,57,41,39,43,39,41
Mrunal,Devdhar,India,29,59,59,60,60,57,55,23,26,15,32,37
Fabid,Ahmed,India,27,59,42,43,41,40,50,58,55,64,53,55
Chintan,Gaja,India,27,59,31,33,31,29,38,59,57,64,51,52
Chirag,Gandhi,India,32,59,59,64,60,53,57,23,26,15,32,36
Hari,Nishaanth,India,25,59,59,58,59,61,50,32,28,33,36,35
Mehdi,Hassan,India,32,59,33,39,34,25,47,59,57,64,52,52
Himmat,Singh,India,25,59,59,57,59,61,51,36,57,17,33,36
Divyang,Hinganekar,India,28,59,47,41,50,49,52,57,56,61,50,52
Ayush,Jamwal,India,22,59,44,35,44,54,37,57,51,65,52,52
Vasuki,Koushik,India,29,59,23,29,22,17,40,59,58,62,52,53
Ashok,Menaria,India,31,59,56,55,56,58,49,52,48,57,50,48
Sudhesan,Midhun,India,27,59,38,26,34,51,41,58,55,64,52,53
Ripal,Patel,India,26,59,58,52,60,63,54,34,29,37,37,37
